D-,Deuterium atom anion,-1
D+,Deuterium atom cation,1
H-,Hydrogen atom anion,-1
H+,Hydrogen atom cation,1
H2-,hydrogen diatomic anion,-1
H2+,Hydrogen cation,1
H3+,hydrogen trimer cation,1
He-,Helium atom anion,-1
He+,Helium atom cation,1
HeH+,Helium hydride cation,1
He2+,helium diatomic cation,1
Li-,Lithium atom anion,-1
Li+,Lithium atom cation,1
Na-,Sodium atom anion,-1
Na+,Sodium atom cation,1
K-,Potassium atom anion,-1
K+,Potassium atom cation,1
Cu-,Copper atom anion,-1
Cu+,Copper atom cation,1
LiH-,lithium hydride anion,-1
LiH+,lithium hydride cation,1
NaH-,sodium hydride anion,-1
NaH+,sodium hydride cation,1
KH+,Potassium hydrogen cation,1
Be-,Beryllium atom anion,-1
Be+,Beryllium atom cation,1
Mg-,Magnesium atom anion,-1
Mg+,Magnesium atom cation,1
Ca-,Calcium atom anion,-1
Ca+,Calcium atom cation,1
Zn-,Zinc atom anion,-1
Zn+,Zinc atom cation,1
BeH-,berylium monohydride anion,-1
BeH+,beryllium monohydride cation,1
MgH-,magnesium monohydride anion,-1
MgH+,magnesium monohydride cation,1
CaH+,Calcium monohydride cation,1
ZnH+,"Zinc, protonated",1
BeH2+,Beryllium dihydride cation,1
B-,Boron atom anion,-1
B+,Boron atom cation,1
Al-,Aluminum atom anion,-1
Al+,Aluminum atom cation,1
Sc+,Scandium cation,1
Ga-,Gallium atom anion,-1
Ga+,Gallium atom cation,1
BH-,boron monohydride anion,-1
BH+,boron monohydride cation,1
AlH-,aluminum monohydride anion,-1
AlH+,aluminum monohydride cation,1
ScH+,Scandium monohydride cation,1
GaH+,Gallium monohydride cation,1
BH2-,boron dihydride anion,-1
BH2+,Boron dihydride cation,1
AlH2-,aluminum dihydride anion,-1
AlH2+,aluminum dihydride cation,1
BH3-,boron trihydride anion,-1
BH3+,boron trihydride cation,1
AlH3-,aluminum trihydride anion,-1
AlH3+,aluminum trihydride cation,1
BH4-,borohydride anion,-1
AlH4-,Aluminum tetrahydride anion,-1
C-,Carbon atom anion,-1
C+,Carbon atom cation,1
Si-,Silicon atom anion,-1
Si+,Silicon atom cation,1
Ti-,Titanium atom anion,-1
Ti+,Titanium atom cation,1
Ge-,Germanium anion,-1
Ge+,Germanium cation,1
CH-,methylidyne anion,-1
CH+,Methylidyne cation,1
SiH-,silicon monohydride anion,-1
SiH+,silicon monohydride cation,1
GeH+,Germaniun monohyrdide cation,1
CH2-,methylene anion,-1
CH2+,methylene cation,1
SiH2-,silicon dihydride anion,-1
SiH2+,silicon dihydride cation,1
GeH2-,germylene anion,-1
CH3-,methyl anion,-1
CH3+,methyl cation,1
SiH3-,Silyl anion,-1
SiH3+,Silyl cation,1
GeH3+,germyl cation,1
CH4-,Methane anion,-1
CH4+,Methane cation,1
SiH4+,Silane cation,1
SiH5+,"Silane, protonated",1
N-,Nitrogen atom anion,-1
N+,Nitrogen atom cation,1
P-,Phosphorus atom anion,-1
P+,Phosphorus atom cation,1
V+,Vanadium atom cation,1
As-,Arsenic anion,-1
As+,Arsenic cation,1
NH-,Imidogen anion,-1
NH+,imidogen cation,1
PH-,phosphorus monohydride anion,-1
PH+,phosphorus monohydride cation,1
AsH+,Arsenic monohydride cation,1
NH2-,amino anion,-1
NH2+,Amino cation,1
PH2-,Phosphino anion,-1
PH2+,Phosphino cation,1
AsH2+,Arsenic dihydride cation,1
NH3-,Ammonia anion,-1
NH3+,ammonia cation,1
PH3+,Phosphine cation,1
AsH3+,Arsine cation,1
NH4+,ammonium cation,1
PH4+,phosphonium cation,1
O-,Oxygen atom anion,-1
O+,Oxygen atom cation,1
S-,Sulfur atom anion,-1
S+,Sulfur atom cation,1
Se-,Selenium atom anion,-1
Se+,Selenium atom cation,1
OH-,hydroxide anion,-1
OH+,hydoxyl cation,1
HS-,mercapto anion,-1
HS+,sulfur monohydride cation,1
CrH+,Chromium hydride cation,1
HSe-,selenium monohydride anion,-1
HSe+,selenium monohydride cation,1
H2O-,water anion,-1
H2O+,water cation,1
H2S-,Hydrogen sulfide anion,-1
H2S+,Hydrogen sulfide cation,1
H2Se+,Hydrogen selenide cation,1
H3O+,hydronium cation,1
H3S+,Sulfonium cation,1
H3Se+,"Hydrogen Selenide, protonated",1
F-,Fluorine atom anion,-1
F+,Fluorine atom cation,1
Cl-,Chlorine atom anion,-1
Cl+,Chlorine atom cation,1
Br-,Bromine atom anion,-1
Br+,Bromine atom cation,1
I-,Iodine atom anion,-1
I+,Iodine atom cation,1
HF-,hydrogen fluoride anion,-1
HF+,hydrogen fluoride cation,1
HCl-,hydrogen chloride anion,-1
HCl+,hydrogen chloride cation,1
HBr-,hydrogen bromide anion,-1
HBr+,hydrogen bromide cation,1
HI+,Hydrogen iodide cation,1
H2F+,dihydrogen fluoride cation,1
H2Cl+,dihydrogen monochloride cation,1
H2Br+,protonated hydrogen bromide,1
H2I+,Iodonium,1
Ne-,Neon atom anion,-1
Ne+,Neon atom cation,1
Ar-,Argon atom anion,-1
Ar+,Argon atom cation,1
Kr+,Krypton cation,1
HeLi+,Helium Lithium cation,1
NeH+,neon hydrogen cation,1
ArH+,Argon hydride cation,1
KrH+,Protonated Krypton,1
XeH+,"Xenon, protonated",1
Li2-,lithium diatomic anion,-1
Li2+,lithium diatomic cation,1
NaLi-,lithium sodium anion,-1
NaLi+,lithium sodium cation,1
Na2-,sodium diatomic anion,-1
Na2+,sodium diatomic cation,1
NaK+,Sodium Potassium diatomic cation,1
Be2-,Beryllium diatomic anion,-1
Be2+,Beryllium diatomic cation,1
Mg2-,magnesium diatomic anion,-1
Mg2+,magnesium diatomic cation,1
B2-,Boron diatomic anion,-1
B2+,Boron diatomic cation,1
Al2-,aluminum diatomic anion,-1
Al2+,aluminum diatomic cation,1
B2H6+,Diborane cation,1
BC-,boron monocarbide anion,-1
BC+,boron monocarbide cation,1
C2-,carbon diatomic anion,-1
C2+,carbon diatomic cation,1
SiC-,silicon monocarbide anion,-1
SiC+,silicon monocarbide cation,1
Si2-,silcon diatomic anion,-1
Si2+,silcon diatomic cation,1
C2H-,Ethynyl anion,-1
C2H+,Ethynyl cation,1
C2H2+,acetylene cation,1
H2CC-,vinylidene anion,-1
HCCH-,acetylene anion,-1
C2H3-,vinyl anion,-1
C2H3+,vinyl cation,1
C2H4-,Ethylene anion,-1
C2H4+,Ethylene cation,1
C2H5-,Ethyl anion,-1
C2H5+,Ethyl cation,1
C2H6+,ethane cation,1
C2H7+,"Ethane, protonated",1
LiN+,Lithium Nitride cation,1
BeN-,Beryllium mononitride anion,-1
BeN+,Beryllium mononitride cation,1
BN-,boron nitride anion,-1
AlN-,aluminum mononitride anion,-1
AlN+,aluminum mononitride cation,1
BN+,boron nitride cation,1
CN-,cyanide anion,-1
CN+,Cyano cation,1
CP-,carbon monophosphide anion,-1
CP+,carbon monophosphide cation,1
SiN-,silicon mononitride anion,-1
SiN+,silicon mononitride cation,1
SiP-,Silicon monophosphide anion,-1
SiP+,Silicon monophosphide cation,1
N2-,nitrogen diatomic anion,-1
N2+,diatomic nitrogen cation,1
PN-,phosphorus nitride anion,-1
PN+,phosphorus nitride cation,1
P2-,phosphorus diatomic anion,-1
P2+,phosphorus diatomic cation,1
HCN-,Hydrogen cyanide anion,-1
HCN+,hydrogen cyanide cation,1
HNC+,hydrogen isocyanide cation,1
NNH+,Dinitrogen monohydride cation,1
HPO+,HPO cation,1
CNH2+,CNH2+,1
H2CN+,hydrocyanonium cation,1
HCNH+,HCNH+,1
N2H2+,trans-diazine cation,1
CH2NH+,Methanimine cation,1
CHNH2+,Aminocarbene cation,1
CH2NH2+,methyleneamine cation,1
N2H4+,hydrazine cation,1
CH3NH2+,methyl amine cation,1
N2H5+,protonated hydrazine,1
CH3NH3+,protonated methylamine,1
CH3PH3+,"methyl phosphine, protonated",1
N2H7+,ammonia ammonium dimer,1
LiO-,lithium oxide anion,-1
LiO+,lithium oxide cation,1
LiS+,Lithium sulfide cation,1
NaO-,sodium oxide anion,-1
NaO+,sodium oxide cation,1
KO+,Potassium monoxide cation,1
BeO-,Beryllium monoxide anion,-1
BeO+,Beryllium monoxide cation,1
MgO-,magnesium oxide anion,-1
MgO+,magnesium oxide cation,1
MgS-,magnesium sulfide anion,-1
MgS+,magnesium sulfide cation,1
BeS-,Beryllium monosulfide anion,-1
BeS+,Beryllium monosulfide cation,1
BO-,boron monoxide anion,-1
AlO-,Aluminum monoxide anion,-1
AlO+,aluminum monoxide cation,1
BS-,boron monosulfide anion,-1
BS+,boron monosulfide cation,1
AlS-,aluminum monosulfide anion,-1
AlS+,aluminum monosulfide cation,1
BO+,boron monoxide cation,1
